ID,taskid,result_count,count_range,price_low,price_high,neighborhood,beds,task_url_agent,task_url_user
1,4lzLZb9K-1,0,0,3000,2000,Greenpoint,4,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=4lzLZb9K-1&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=4lzLZb9K-1&role=user
2,2RiHC1MH-2,10,0,2000,5500,Battery Park City,0,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=2RiHC1MH-2&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=2RiHC1MH-2&role=user
3,tHXspoGE-3,1125,56,,,,3,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=tHXspoGE-3&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=tHXspoGE-3&role=user
4,tfiwNRvc-4,1,0,2000,2000,Prospect Lefferts Gardens,3,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=tfiwNRvc-4&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=tfiwNRvc-4&role=user
5,lHn87PyM-5,106,5,2500,,Brooklyn Heights,,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=lHn87PyM-5&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=lHn87PyM-5&role=user
6,ACg8z4xU-6,1199,59,,3000,,2,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=ACg8z4xU-6&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=ACg8z4xU-6&role=user
7,VUVW6CIu-7,3,0,2500,2000,Williamsburg,3,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=VUVW6CIu-7&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=VUVW6CIu-7&role=user
8,wHc9QQ1O-8,0,0,4000,4500,Upper West Side,3,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=wHc9QQ1O-8&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=wHc9QQ1O-8&role=user
9,jBThes47-9,8,0,5000,6000,Bedford-Stuyvesant,4,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=jBThes47-9&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=jBThes47-9&role=user
10,6b0qKLYj-10,6272,313,4000,5000,,,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=6b0qKLYj-10&role=agent,chat-data-crowd.mybluemix.net/login?username=your%20username&taskid=6b0qKLYj-10&role=user
